price,area
1.456500584289792144e+01,-1.286997275783676287e+00
9.848108172044479858e+00,-1.736515527754058041e+01
1.376189301316333591e+01,-1.591983774276081753e+01
1.662726056083413084e+01,-1.462842220808195393e+01
3.606625452035995494e+00,-1.511699491447843613e+01
1.320508737526823495e+01,-1.218623032605201573e+01
-3.272495731770035832e+00,-1.130414639857058745e+01
1.293809333222026048e+01,4.218824696733843638e+00
1.742415903972196034e+00,-1.819334798991643254e+01
1.163468207857066261e+01,-6.258795823722742568e-01
1.318326234589570234e+01,-1.078832210374954315e+01
1.301654470999788593e+01,-1.390127920201027933e+00
9.130528252342216433e+00,-1.635538507754197113e+01
1.236874721007356293e+01,-1.637784863342810482e+01
6.411722567070595957e+00,-1.439630909037132511e+01
1.119853199539726418e+01,-9.249839610546526814e+00
3.311981678352156067e+00,-1.266392742998872123e+01
7.202864032492841240e+00,-1.258200454003132585e+01
7.196311868405941503e+00,-8.585081992137705953e+00
6.283403496236482866e+00,-9.267533614480644388e+00
2.105506509751443289e+01,-1.555022790420691692e+01
-3.155278110526275270e+00,-9.315540422582877511e+00
8.528070187002168012e+00,-1.279720002802627121e+01
1.105510277309612022e+01,-9.585314533995255459e+00
1.441421305099528283e+01,-1.346453867156369455e+01
1.618195329685730144e+01,-1.006595250127579178e+01
1.013099916445853843e+01,-1.229734405047913803e+01
8.597808927138897772e+00,-1.332544776166897549e+01
4.961198595670388123e+00,-1.493895269464413111e+01
8.291091888176184810e+00,-2.808155183985751790e+01
9.138687496171892022e+00,-3.636025908031553122e+00
2.677615968753883635e-01,-2.504827435179497641e+01
1.071998512283025207e+01,-1.092597185717304065e+01
5.500337334885593954e+00,-1.839378241578602768e+01
8.393914422845140777e+00,-1.480646076036207148e+01
1.414481866990280068e+01,-1.860677436267668128e+00
2.692264107249711103e+00,-8.966765502564866708e+00
1.293803530289888926e+01,-1.122730346040449056e+01
6.649458505405322128e+00,-1.246124622414513361e+01
9.101689739335130369e+00,-1.180701954544714027e+01
3.599129506607727791e+00,-1.545538802139199319e+01
-2.525009325325530796e+00,-1.744120661242983061e+01
1.371364188269260787e+01,-1.861046366154533516e+01
5.763446900193120115e+00,-1.214638576935034209e+01
2.381655058847152340e+00,-1.145410913230996997e+01
1.687886741338529362e+01,2.541965694223133099e+01
1.826716854822917568e+01,2.668280208870775283e+01
1.768630590600542618e+01,2.023449775780304805e+01
1.935023500380349404e+01,2.086246604232161417e+01
1.997299326688062138e+01,2.570013613141647824e+01
1.493821805105865863e+01,2.258429043399208780e+01
1.112422502383477152e+01,2.616683841977618741e+01
1.947948604265891959e+01,2.401282331882189069e+01
1.274748747762882672e+01,2.550637008850333132e+01
1.079237026891801676e+01,2.766498231594750834e+01
1.044657474375249606e+01,2.854679636960063860e+01
1.031364269728966221e+01,2.790541073251890225e+01
2.067108517663265843e+01,2.619771231579678172e+01
1.651389014998435911e+01,2.376292850508178134e+01
1.698372626154088749e+01,2.348334934967009957e+01
1.441654038292928419e+01,2.570535037282570201e+01
1.439287244912697084e+01,2.862254351384223483e+01
1.439397837770773592e+01,2.309852660366060917e+01
1.809376999447565026e+01,2.199831516961654643e+01
2.077840016841548021e+01,2.317013059214581006e+01
1.627960605490346069e+01,2.369344080753905857e+01
1.390166606765467350e+01,2.308425502208847035e+01
1.817063828495061273e+01,2.440128020744092652e+01
1.275576025551911030e+01,2.548659487627591247e+01
8.424123854252405508e+00,2.641266356481609989e+01
1.587380845013343311e+01,2.407405267448197606e+01
2.508379234403329860e+01,2.271554723249925800e+01
1.305252144329976005e+01,2.421722670961431945e+01
9.182596078702953690e+00,2.942794734850566130e+01
1.320497578860218368e+01,2.492813532810686183e+01
1.346860446363887576e+01,2.309865320935243815e+01
1.226972018787948571e+01,2.589270007240829941e+01
1.553987070613381150e+01,2.688294738043786225e+01
1.433563926382542064e+01,2.586276665150604259e+01
1.357369513323073207e+01,2.448471283800419229e+01
1.366040127796287607e+01,2.859119301383664791e+01
1.337622349234747077e+01,2.755310286718887980e+01
1.700006906548653518e+01,2.226090412970262378e+01
2.038594539204499512e+01,2.414019898955468335e+01
1.688493752991520580e+01,2.646748449064383024e+01
1.704822458749911362e+01,2.301867851969206313e+01
1.543629177642167782e+01,2.643043678616938763e+01
1.498090004721365354e+01,2.539648666543429911e+01
1.508947405913587758e+01,2.527184116556594162e+01
1.848245581204453813e+01,2.313715519519698560e+01
1.552635546691743684e+01,2.459236169615345347e+01
1.295441000052564284e+01,2.493827936274396251e+01
1.502366672316803609e+01,2.444342997455058253e+01
1.434269444847962305e+01,2.681228416387430258e+01
1.838858334200920552e+01,2.411332169462776776e+01
7.511804512598610373e+00,2.663735890070078582e+01
1.684571420989357549e+01,2.232666902050945978e+01
1.713753361027730904e+01,2.672879790071667827e+01
1.440991243605139616e+01,2.407235603824724990e+01
1.262193625045280321e+01,2.527788750674679363e+01
1.180160157569908463e+01,2.740393500459408216e+01
1.022491036055207836e+01,2.654945542123621749e+01
6.371824623919492225e+00,3.148695804167125800e+01
1.295529776692968227e+01,2.608705249321447894e+01
1.653564700003026999e+01,2.252907219304938735e+01
1.478604672397005615e+01,2.366791716173691640e+01
1.348139856442864470e+01,2.436852428721932640e+01
1.385421094493238137e+01,2.740715303627573718e+01
1.810408748056714501e+01,2.538539113527768265e+01
1.664188068206366822e+01,2.616131719830989510e+01
1.454567347808430000e+01,2.731138733538969277e+01
1.796830914346911001e+01,2.309126766509711715e+01
1.006732261311282883e+01,2.671950687432960336e+01
1.970187778999608952e+01,1.873870321004853068e+01
2.100298250197809580e+01,1.767425886888421260e+01
1.727114758351461887e+01,2.602301456920928402e+01
1.660981593584419258e+01,2.466124976788612244e+01
1.534353731847907376e+01,2.481726680422672970e+01
1.537730001296699278e+01,2.446415739044324766e+01
1.265828315154707440e+01,2.420495006487486123e+01
1.263446783958100639e+01,2.804545588075822948e+01
1.623395810293658670e+01,2.575801444416181951e+01
1.672270788111161366e+01,2.302456357914625684e+01
1.437115870246448424e+01,2.501576720457390124e+01
1.584235715761258056e+01,2.328594833632014272e+01
1.744945008806357833e+01,2.530048902062399208e+01
2.122885969981397736e+01,2.204732989142975441e+01
1.629932445330550195e+01,2.557863424914138406e+01
1.122312893683829671e+01,2.210038787511379965e+01
1.346625395455947682e+01,2.647754975205235084e+01
1.456253982263853608e+01,2.439689034686793789e+01
1.206084215911426760e+01,2.594283867116110898e+01
9.828531314700544641e+00,2.901616624097474073e+01
7.833245943775344777e+00,2.770354508424245665e+01
2.094149310001298048e+01,2.287469864736259950e+01
1.241709229521235791e+01,2.655580086795931294e+01
1.935748060546323046e+01,2.166646641255736228e+01
1.296220929680550782e+01,2.584026058397821046e+01
1.521641815844298762e+01,2.455470813445663936e+01
1.743812839459254249e+01,2.261918839438063600e+01
2.076561114975008238e+01,2.489906133216780404e+01
1.683311022911744814e+01,2.481364621668351589e+01
1.875700365023233473e+01,2.428149639587322994e+01
2.146317090698384078e+01,2.294929209349759347e+01
1.677687151412741429e+01,2.782754274580819143e+01
